network,bin_infected,bin_source,count
0, 0, 0, 9035.0
0, 0, 1, 15301.0
0, 0, 2, 15265.0
0, 0, 3, 15390.0
0, 0, 4, 17365.0
0, 0, 5, 15743.0
0, 0, 6, 10076.0
0, 0, 7, 6074.0
0, 0, 8, 5833.0
0, 1, 0, 12241.0
0, 1, 1, 22139.0
0, 1, 2, 21898.0
0, 1, 3, 21961.0
0, 1, 4, 24956.0
0, 1, 5, 22303.0
0, 1, 6, 14416.0
0, 1, 7, 8629.0
0, 1, 8, 8290.0
0, 2, 0, 24760.0
0, 2, 1, 43523.0
0, 2, 2, 43262.0
0, 2, 3, 43245.0
0, 2, 4, 48516.0
0, 2, 5, 44069.0
0, 2, 6, 28222.0
0, 2, 7, 16812.0
0, 2, 8, 16245.0
0, 3, 0, 24935.0
0, 3, 1, 44022.0
0, 3, 2, 43662.0
0, 3, 3, 43934.0
0, 3, 4, 49082.0
0, 3, 5, 44748.0
0, 3, 6, 28631.0
0, 3, 7, 17004.0
0, 3, 8, 16549.0
0, 4, 0, 26086.0
0, 4, 1, 45864.0
0, 4, 2, 45002.0
0, 4, 3, 45208.0
0, 4, 4, 50831.0
0, 4, 5, 45669.0
0, 4, 6, 29483.0
0, 4, 7, 17575.0
0, 4, 8, 17024.0
0, 5, 0, 24719.0
0, 5, 1, 43231.0
0, 5, 2, 42943.0
0, 5, 3, 42754.0
0, 5, 4, 47836.0
0, 5, 5, 43607.0
0, 5, 6, 27956.0
0, 5, 7, 16813.0
0, 5, 8, 16183.0
0, 6, 0, 18274.0
0, 6, 1, 32373.0
0, 6, 2, 31969.0
0, 6, 3, 31862.0
0, 6, 4, 35800.0
0, 6, 5, 32777.0
0, 6, 6, 20701.0
0, 6, 7, 12635.0
0, 6, 8, 12225.0
0, 7, 0, 12212.0
0, 7, 1, 21727.0
0, 7, 2, 21556.0
0, 7, 3, 21255.0
0, 7, 4, 24217.0
0, 7, 5, 21710.0
0, 7, 6, 14112.0
0, 7, 7, 8429.0
0, 7, 8, 8053.0
0, 8, 0, 11624.0
0, 8, 1, 20794.0
0, 8, 2, 20485.0
0, 8, 3, 20431.0
0, 8, 4, 23079.0
0, 8, 5, 21045.0
0, 8, 6, 13468.0
0, 8, 7, 8178.0
0, 8, 8, 7734.0
1, 0, 0, 22413.0
1, 0, 1, 25146.0
1, 0, 2, 30794.0
1, 0, 3, 25109.0
1, 0, 4, 27645.0
1, 0, 5, 16000.0
1, 0, 6, 3795.0
1, 0, 7, 12.0
1, 0, 8, 58.0
1, 1, 0, 17059.0
1, 1, 1, 42753.0
1, 1, 2, 19537.0
1, 1, 3, 22375.0
1, 1, 4, 30743.0
1, 1, 5, 40254.0
1, 1, 6, 16336.0
1, 1, 7, 1977.0
1, 1, 8, 766.0
1, 2, 0, 31992.0
1, 2, 1, 30947.0
1, 2, 2, 51243.0
1, 2, 3, 50807.0
1, 2, 4, 23920.0
1, 2, 5, 20039.0
1, 2, 6, 22004.0
1, 2, 7, 8248.0
1, 2, 8, 2824.0
1, 3, 0, 25557.0
1, 3, 1, 33900.0
1, 3, 2, 51298.0
1, 3, 3, 39926.0
1, 3, 4, 35770.0
1, 3, 5, 10486.0
1, 3, 6, 5621.0
1, 3, 7, 6009.0
1, 3, 8, 2776.0
1, 4, 0, 28553.0
1, 4, 1, 45650.0
1, 4, 2, 22651.0
1, 4, 3, 36488.0
1, 4, 4, 40507.0
1, 4, 5, 44921.0
1, 4, 6, 11441.0
1, 4, 7, 4457.0
1, 4, 8, 3616.0
1, 5, 0, 16738.0
1, 5, 1, 62134.0
1, 5, 2, 20290.0
1, 5, 3, 11076.0
1, 5, 4, 47690.0
1, 5, 5, 37421.0
1, 5, 6, 29488.0
1, 5, 7, 6940.0
1, 5, 8, 2929.0
1, 6, 0, 3890.0
1, 6, 1, 26113.0
1, 6, 2, 21986.0
1, 6, 3, 6248.0
1, 6, 4, 12106.0
1, 6, 5, 29246.0
1, 6, 6, 18529.0
1, 6, 7, 15254.0
1, 6, 8, 4332.0
1, 7, 0, 16.0
1, 7, 1, 3375.0
1, 7, 2, 8507.0
1, 7, 3, 6412.0
1, 7, 4, 4725.0
1, 7, 5, 7272.0
1, 7, 6, 15828.0
1, 7, 7, 10200.0
1, 7, 8, 14859.0
1, 8, 0, 48.0
1, 8, 1, 1010.0
1, 8, 2, 2444.0
1, 8, 3, 2654.0
1, 8, 4, 3200.0
1, 8, 5, 2470.0
1, 8, 6, 4026.0
1, 8, 7, 14866.0
1, 8, 8, 16608.0
2, 0, 0, 182997.0
2, 0, 1, 0.0
2, 0, 2, 2301.0
2, 0, 3, 2262.0
2, 0, 4, 2187.0
2, 0, 5, 0.0
2, 0, 6, 0.0
2, 0, 7, 0.0
2, 0, 8, 0.0
2, 1, 0, 0.0
2, 1, 1, 391034.0
2, 1, 2, 3426.0
2, 1, 3, 3304.0
2, 1, 4, 3641.0
2, 1, 5, 0.0
2, 1, 6, 0.0
2, 1, 7, 0.0
2, 1, 8, 0.0
2, 2, 0, 1206.0
2, 2, 1, 2097.0
2, 2, 2, 82933.0
2, 2, 3, 79480.0
2, 2, 4, 87872.0
2, 2, 5, 1107.0
2, 2, 6, 895.0
2, 2, 7, 438.0
2, 2, 8, 340.0
2, 3, 0, 1165.0
2, 3, 1, 2048.0
2, 3, 2, 81727.0
2, 3, 3, 81633.0
2, 3, 4, 89415.0
2, 3, 5, 1227.0
2, 3, 6, 769.0
2, 3, 7, 322.0
2, 3, 8, 419.0
2, 4, 0, 1145.0
2, 4, 1, 2150.0
2, 4, 2, 84810.0
2, 4, 3, 85117.0
2, 4, 4, 90166.0
2, 4, 5, 1196.0
2, 4, 6, 871.0
2, 4, 7, 492.0
2, 4, 8, 518.0
2, 5, 0, 0.0
2, 5, 1, 0.0
2, 5, 2, 1427.0
2, 5, 3, 1452.0
2, 5, 4, 1632.0
2, 5, 5, 96069.0
2, 5, 6, 61435.0
2, 5, 7, 37580.0
2, 5, 8, 35325.0
2, 6, 0, 0.0
2, 6, 1, 0.0
2, 6, 2, 1145.0
2, 6, 3, 1036.0
2, 6, 4, 1399.0
2, 6, 5, 70809.0
2, 6, 6, 46800.0
2, 6, 7, 28182.0
2, 6, 8, 24685.0
2, 7, 0, 0.0
2, 7, 1, 0.0
2, 7, 2, 672.0
2, 7, 3, 581.0
2, 7, 4, 690.0
2, 7, 5, 46315.0
2, 7, 6, 30541.0
2, 7, 7, 19436.0
2, 7, 8, 16740.0
2, 8, 0, 0.0
2, 8, 1, 0.0
2, 8, 2, 542.0
2, 8, 3, 642.0
2, 8, 4, 749.0
2, 8, 5, 45088.0
2, 8, 6, 28678.0
2, 8, 7, 18252.0
2, 8, 8, 15385.0
